year,company_name,amount,state_code,category
2021,AALYRIA,393004,CA,New Awardees
2020,APOGEE SEMICONDUCTOR,124953,TX,New Awardees
2020,APOGEE SEMICONDUCTOR,2072337.99,TX,New Awardees
2019,ATLAS SPACE OPERATIONS,116251,MI,New Awardees
2019,ATLAS SPACE OPERATIONS,468885,MI,New Awardees
2020,ATLAS SPACE OPERATIONS,754192,MI,New Awardees
2020,AXIOM SPACE,61488846,TX,New Awardees
2021,AXIOM SPACE,4135728.35,TX,New Awardees
2022,AXIOM SPACE,897233,TX,New Awardees
2023,AXIOM SPACE,300000,TX,New Awardees
2023,AXIOM SPACE,1047742,TX,New Awardees
2019,BENCHMARK SPACE SYSTEMS,121437,VT,New Awardees
2020,BENCHMARK SPACE SYSTEMS,749849,VT,New Awardees
2018,BLUEHALO LABS,125000,MD,New Awardees
2018,BLUEHALO LABS,125000,MD,New Awardees
2018,BLUEHALO LABS,124999,MD,New Awardees
2018,BLUEHALO LABS,124999,MD,New Awardees
2018,BLUEHALO LABS,85000,MD,New Awardees
2019,BLUEHALO LABS,100000,MD,New Awardees
2019,BLUEHALO LABS,282955,MD,New Awardees
2019,BLUEHALO LABS,125000,MD,New Awardees
2019,BLUEHALO LABS,749999,MD,New Awardees
2019,BLUEHALO LABS,125000,MD,New Awardees
2019,BLUEHALO LABS,124999,MD,New Awardees
2020,BLUEHALO LABS,734479,MD,New Awardees
2020,BLUEHALO LABS,118449,MD,New Awardees
2020,BLUEHALO LABS,125000,MD,New Awardees
2020,BLUEHALO LABS,750000,MD,New Awardees
2020,BLUEHALO LABS,125000,MD,New Awardees
2020,BLUEHALO LABS,249993,MD,New Awardees
2022,BLUEHALO LABS,225000,MD,New Awardees
2022,BLUEHALO LABS,479806.25,MD,New Awardees
2022,BLUEHALO LABS,464346.2,MD,New Awardees
2022,BLUEHALO LABS,799922,MD,New Awardees
2022,BLUEHALO LABS,0,MD,New Awardees
2023,BLUEHALO LABS,1514013.55,MD,New Awardees
2023,BLUEHALO LABS,249807.6,MD,New Awardees
2023,BLUEHALO LABS,180000,MD,New Awardees
2024,BLUEHALO LABS,1769697,MD,New Awardees
2024,BLUEHALO LABS,180000,MD,New Awardees
2018,CACTUS MATERIALS,124934,AZ,New Awardees
2019,CACTUS MATERIALS,124995,AZ,New Awardees
2020,CACTUS MATERIALS,124990,AZ,New Awardees
2021,CACTUS MATERIALS,883068,AZ,New Awardees
2017,CESIUMASTRO,2432900,TX,New Awardees
2018,CESIUMASTRO,1912334,TX,New Awardees
2020,CESIUMASTRO,124926,TX,New Awardees
2023,CESIUMASTRO,395640,TX,New Awardees
2018,COGNITIVE SPACE,1196253,TX,New Awardees
2022,COGNITIVE SPACE,1196253,TX,New Awardees
2018,ENGENIX,124909,AL,New Awardees
2020,ENGENIX,124909,AL,New Awardees
2019,ETA SPACE,21944699,FL,New Awardees
2021,ETA SPACE,21944699,FL,New Awardees
2015,GLOBAL AIR LOGISTICS AND TRAINING,992845,CA,New Awardees
2022,GLOBAL AIR LOGISTICS AND TRAINING,992845,CA,New Awardees
2019,G-SPACE,124999,CA,New Awardees
2018,HELIOSPACE,947373,CA,New Awardees
2019,HELIOSPACE,122604,CA,New Awardees
2020,HELIOSPACE,748983,CA,New Awardees
2023,HELIOSPACE,75786,CA,New Awardees
2016,IMPOSSIBLE SENSING,2867895,MO,New Awardees
2018,IMPOSSIBLE SENSING,124921,MO,New Awardees
2019,IMPOSSIBLE SENSING,124752,MO,New Awardees
2019,IMPOSSIBLE SENSING,124934,MO,New Awardees
2020,IMPOSSIBLE SENSING,1121972,MO,New Awardees
2020,IMPOSSIBLE SENSING,1122463,MO,New Awardees
2020,IMPOSSIBLE SENSING,124803,MO,New Awardees
2020,IMPOSSIBLE SENSING,124050,MO,New Awardees
2017,LUNAR OUTPOST,120964,CO,New Awardees
2019,LUNAR OUTPOST,120964,CO,New Awardees
2020,MAGMA SPACE,123101,DC,New Awardees
2020,MAGMA SPACE,123101,DC,New Awardees
2020,MARTIAN SKY INDUSTRIES,124918,OH,New Awardees
2020,MARTIAN SKY INDUSTRIES,124918,OH,New Awardees
2017,MENTIUM TECHNOLOGIES,1310356,CA,New Awardees
2018,MENTIUM TECHNOLOGIES,1129356,CA,New Awardees
2020,MENTIUM TECHNOLOGIES,181000,CA,New Awardees
2016,MODULARITY SPACE,124259,FL,New Awardees
2016,NABLA ZERO LABS,874813,CA,New Awardees
2019,NABLA ZERO LABS,124962,CA,New Awardees
2020,NABLA ZERO LABS,749851,CA,New Awardees
2019,NFLUX AI,124900,CA,New Awardees
2017,NOVI,748097,VA,New Awardees
2022,NOVI,748097,VA,New Awardees
2017,ORBION SPACE TECHNOLOGY,124822,MI,New Awardees
2019,ORBION SPACE TECHNOLOGY,124822,MI,New Awardees
2018,ORBIT FAB,124912,CO,New Awardees
2018,ORBIT FAB,124912,CA,New Awardees
2015,ORBITAL MICRO SYSTEMS,4996530,CO,New Awardees
2023,ORBITAL MICRO SYSTEMS,4996530,CO,New Awardees
2017,PERATON,"479,236,414.10",VA,New Awardees
2015,PERATON,39553,VA,New Awardees
2015,PERATON,12223472.08,VA,New Awardees
2016,PERATON,327567925.7,VA,New Awardees
2018,PERATON,0,VA,New Awardees
2018,PERATON,14285.71,VA,New Awardees
2020,PERATON,17012362.13,VA,New Awardees
2021,PERATON,0,VA,New Awardees
2021,PERATON,0,VA,New Awardees
2021,PERATON,5551223.66,VA,New Awardees
2021,PERATON,1854414,VA,New Awardees
2021,PERATON,11125845.55,VA,New Awardees
2021,PERATON,13770799.99,VA,New Awardees
2021,PERATON,10000,VA,New Awardees
2021,PERATON,0,VA,New Awardees
2023,PERATON,87215472.53,VA,New Awardees
2023,PERATON,257416,VA,New Awardees
2023,PERATON,2045325.5,VA,New Awardees
2023,PERATON,418409,VA,New Awardees
2023,PERATON,129909.26,VA,New Awardees
2015,PICKNIK ROBOTICS,123485,CO,New Awardees
2021,QUANTUM SPACE,747237,MD,New Awardees
2024,QUANTUM SPACE,747237,MD,New Awardees
2019,REBEL SPACE TECHNOLOGIES,123485,CA,New Awardees
2020,REBEL SPACE TECHNOLOGIES,123485,CA,New Awardees
2020,REDWIRE,33377819.42,FL,New Awardees
2018,REDWIRE SPACE,1043134,FL,New Awardees
2018,REDWIRE SPACE,1121348,FL,New Awardees
2018,REDWIRE SPACE,124807,FL,New Awardees
2018,REDWIRE SPACE,124903,FL,New Awardees
2018,REDWIRE SPACE,124538,FL,New Awardees
2018,REDWIRE SPACE,124224,FL,New Awardees
2018,REDWIRE SPACE,124782,FL,New Awardees
2019,REDWIRE SPACE,748296,FL,New Awardees
2019,REDWIRE SPACE,749594,FL,New Awardees
2019,REDWIRE SPACE,124938,FL,New Awardees
2020,REDWIRE SPACE,374867,FL,New Awardees
2020,REDWIRE SPACE,47705,FL,New Awardees
2018,REDWIRE SPACE ENTERPRISES,749618,CA,New Awardees
2018,REDWIRE SPACE ENTERPRISES,124993,CA,New Awardees
2019,REDWIRE SPACE ENTERPRISES,124969,CA,New Awardees
2019,REDWIRE SPACE ENTERPRISES,124713,CA,New Awardees
2019,REDWIRE SPACE ENTERPRISES,889700,CA,New Awardees
2020,REDWIRE SPACE ENTERPRISES,749224,CA,New Awardees
2020,REDWIRE SPACE ENTERPRISES,749163,CA,New Awardees
2018,REDWIRE SPACE SOLUTIONS,754117,CO,New Awardees
2018,REDWIRE SPACE SOLUTIONS,754995,CO,New Awardees
2018,REDWIRE SPACE SOLUTIONS,124945,CO,New Awardees
2018,REDWIRE SPACE SOLUTIONS,122273,CO,New Awardees
2018,REDWIRE SPACE SOLUTIONS,123275,CO,New Awardees
2018,REDWIRE SPACE SOLUTIONS,123889,CO,New Awardees
2019,REDWIRE SPACE SOLUTIONS,124975,CO,New Awardees
2019,REDWIRE SPACE SOLUTIONS,749406,CO,New Awardees
2019,REDWIRE SPACE SOLUTIONS,124956,CO,New Awardees
2021,REDWIRE SPACE SOLUTIONS,1205742,CO,New Awardees
2021,REDWIRE SPACE SOLUTIONS,18574042.42,CO,New Awardees
2018,REDWIRE SPACE TECHNOLOGIES,499867,IN,New Awardees
2018,REDWIRE SPACE TECHNOLOGIES,1500000,IN,New Awardees
2019,REDWIRE SPACE TECHNOLOGIES,124893,IN,New Awardees
2020,REDWIRE SPACE TECHNOLOGIES,124928,IN,New Awardees
2015,RELATIVITY SPACE,115278,CA,New Awardees
2020,RELATIVITY SPACE,115278,CA,New Awardees
2019,ROCKET PROPULSION SYSTEMS,125000,WA,New Awardees
2020,ROCKET PROPULSION SYSTEMS,759564,WA,New Awardees
2021,SIERRA SPACE,4134275.23,CO,New Awardees
2022,SIERRA SPACE,2273037,CO,New Awardees
2023,SIERRA SPACE,28245,CO,New Awardees
2024,SIERRA SPACE,353260,CO,New Awardees
2024,SIERRA SPACE,171303.94,CO,New Awardees
2024,SIERRA SPACE,774678.29,CO,New Awardees
2024,SIERRA SPACE,385576,CO,New Awardees
2024,SIERRA SPACE,148175,CO,New Awardees
2016,SPACE FOUNDRY,1324694,CA,New Awardees
2018,SPACE FOUNDRY,124991,CA,New Awardees
2019,SPACE FOUNDRY,974703,CA,New Awardees
2021,SPACE FOUNDRY,225000,CA,New Awardees
2016,SPACE LAB TECHNOLOGIES,2927239,CO,New Awardees
2018,SPACE LAB TECHNOLOGIES,820326,CO,New Awardees
2018,SPACE LAB TECHNOLOGIES,124981,CO,New Awardees
2018,SPACE LAB TECHNOLOGIES,124994,CO,New Awardees
2018,SPACE LAB TECHNOLOGIES,124620,CO,New Awardees
2019,SPACE LAB TECHNOLOGIES,124997,CO,New Awardees
2019,SPACE LAB TECHNOLOGIES,97420,CO,New Awardees
2019,SPACE LAB TECHNOLOGIES,754982,CO,New Awardees
2020,SPACE LAB TECHNOLOGIES,754919,CO,New Awardees
2020,SPACELINK,94940.5,VA,New Awardees
2022,SPACELINK,94940.5,VA,New Awardees
2021,SPECTER,124738,CA,New Awardees
2019,STOKE SPACE,124949,WA,New Awardees
2017,STRATOS PERCEPTION,110312,TX,New Awardees
2019,STRATOS PERCEPTION,110312,TX,New Awardees
2016,TENDEG,2749688,CO,New Awardees
2018,TENDEG,749962,CO,New Awardees
2018,TENDEG,124860,CO,New Awardees
2018,TENDEG,749898,CO,New Awardees
2019,TENDEG,1124968,CO,New Awardees
2019,TRUSTED SPACE,999818,VA,New Awardees
