company_name,year_founded,Industries,hq,zipcode,description,operating_status,cb_rank,funding_status,funding_date,funding_type,ipo_status,estimated_revenue,num_employees,num_funding_rounds,total_funding,top_investors,num_investors,operating_status_binary,num_employees_cat,clean_name,city,state,country
DIMAAG,2018,"Artificial Intelligence (AI), Autonomous Vehicles, Charging Infrastructure, Computer Vision, Electric Vehicle, Machine Learning, Manufacturing, Robotics","Fremont, California, United States",94538,"Building cutting-edge products and software services encompassing AI, Autonomous Navigation, Electric Vehicles, and Robotics.",Active,205664,0,2020-01-27,Venture - Series Unknown,Private,0,101-250,1,0,"Plug and Play, Global Catalyst Partners Japan",2,1,101-250,DIMAAG,Fremont,California,United States
Netdata,2018,"Enterprise Software, Information Technology, Internet of Things, IT Infrastructure, Software","San Francisco, California, United States",94104,"Monitor your servers, containers, and applications, in high-resolution and in real-time.",Active,29903,Early Stage Venture,2020-09-22,Series A,Private,$10M to $50M,51-100,5,34700000,"Bessemer Venture Partners, Uncorrelated Ventures, Bain Capital Ventures, Marathon Venture Capital, Stackscale",5,1,51-100,NETDATA,San Francisco,California,United States
Outward Technologies,2017,"Aerospace, Commercial, Solar","Broomfield, Colorado, United States",80020,Outward Technologies develops critical technologies for extraterrestrial mining and manufacturing.,Active,99546,0,2020-09-11,Grant,Private,$1M to $10M,11-50,2,1175495,National Science Foundation,1,1,11-50,OUTWARD TECHNOLOGIES,Broomfield,Colorado,United States
TATINE,2015,"E-Commerce, Home Decor, Manufacturing, Wholesale","Chicago, Illinois, United States",60639,TATINE manufactures and sells candles online.,Active,766720,0,0,0,Private,Less than $1M,10-Jan,0,0,0,0,1,10-Jan,TATINE,Chicago,Illinois,United States
X3M,2022,"Advertising, Advertising Platforms, Information Technology, Mobile Advertising","Wilmington, Delaware, United States",19801,"X3M improves ad monetization on mobile, giving publishers a new mediation platform to obtain higher CPMs and better fill rates",Active,1900792,0,0,0,Private,0,51-100,0,0,0,0,1,51-100,X3M,Wilmington,Delaware,United States
Duext,2016,"Copywriting, Information Technology, Internet, Technical Support","New York, New York, United States",10036,"Duext Virtual Assistants helps grow in the digital space and provides Social Media Marketing, SEO, Copywriting, and Content Development.",Active,813646,0,0,0,Private,Less than $1M,10-Jan,0,0,0,0,1,10-Jan,DUEXT,New York,New York,United States
PEMRS,2018,"Electronic Health Record (EHR), Health Care, Information Technology, Medical, mHealth","East Brunswick, New Jersey, United States",8816,PEMRS is a healthcare digital technology company that provides a mobile app for individuals to aggregate their electronic medical records.,Active,170439,Seed,2019-02-04,Pre-Seed,Private,0,10-Jan,2,170000,"Thangamani Seenivassen, Harald kiamzon, Jeremy Baron, Hesham Mohamed, Harald Kiamzon",9,1,10-Jan,PEMRS,East Brunswick,New Jersey,United States
Solstar Space Company,2017,"Aerospace, Space Travel, Technical Support, Unified Communications","Santa Fe, New Mexico, United States",8750,Satellite services company for the space communications vertical,Active,70536,Early Stage Venture,2024-04-03,Grant,Private,0,10-Jan,4,2700000,"New Mexico Vintage Fund, United States Space Force, Meyer Global, Bay Wharf Capital",4,1,10-Jan,SOLSTAR SPACE COMPANY,Santa Fe,New Mexico,United States
BLAKFX,2017,"Blockchain, Cloud Security, Cryptocurrency, Cyber Security, Information Technology","Chester, New Jersey, United States",7930,"BLAKFX provides sophisticated cyber security solutions for consumers, enterprise, military, governments and high net-worth individuals.",Active,3151162,0,0,0,Private,$1M to $10M,251-500,0,0,0,0,1,251-500,BLAKFX,Chester,New Jersey,United States
Reactive Space,2017,"Agriculture, Blockchain, Data Visualization, Enterprise Software, Information Technology, Intelligent Systems, Software","Totowa, New Jersey, United States",7512,"Our rich mix of Enterprise , SME and startup experiences allows us to bring value to your ideas and make them a reality.",Active,956916,0,0,0,Private,Less than $1M,51-100,0,0,0,0,1,51-100,REACTIVE SPACE,Totowa,New Jersey,United States
