contract_award_unique_key,award_id_piid,total_obligated_amount,current_total_value_of_award,potential_total_value_of_award,award_base_action_date,award_base_action_year,current_end_date,awarding_agency_name,awarding_sub_agency_name,funding_agency_name,funding_sub_agency_name,recipient_name,recipient_parent_name,recipient_city_name,recipient_state_code,recipient_zipcode,primary_place_of_performance_city_name,primary_place_of_performance_state_code,award_type,type_of_contract_pricing,product_or_service_code_description,naics_code,naics_description,number_of_offers_received,organizational_type,clean_recipient_name,clean_recipient_parent_name
CONT_AWD_DEAC0798SF21256_8900_-NONE-_-NONE-,DEAC0798SF21256,58447388.31,79418216,79418216,1998-03-06,1998,2007-10-15,Department of Energy,Department of Energy,Department of Energy,Department of Energy,LOCKHEED MARTIN CORP,LOCKHEED MARTIN CORP,KING OF PRUSSIA,PA,19406,DENVER,CO,DEFINITIVE CONTRACT,COST PLUS FIXED FEE,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ENGINEERING DEVELOPMENT),336415,GUIDED MISSILE AND SPACE VEHICLE PROPULSION UNIT AND PROPULSION UNIT PARTS MANUFACTURING,1,CORPORATE NOT TAX EXEMPT,LOCKHEED MARTIN,LOCKHEED MARTIN
CONT_AWD_N0042100C0144_9700_-NONE-_-NONE-,N0042100C0144,1440887.9,0,0,2000-03-15,2000,2001-06-30,Department of Defense,Defense Contract Management Agency,Department of Defense,Department of the Navy,GENERAL ELECTRIC COMPANY,GENERAL ELECTRIC COMPANY,CINCINNATI,OH,45215,CINCINNATI,OH,DEFINITIVE CONTRACT,COST PLUS FIXED FEE,NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; R&D ADMINISTRATIVE EXPENSES,541330,ENGINEERING SERVICES,1,Unknown,GENERAL ELECTRIC,GENERAL ELECTRIC
CONT_AWD_NAS919605_8000_-NONE-_-NONE-,NAS919605,4345330.44,0,0,2000-09-22,2000,2010-12-31,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,HONEYWELL INTERNATIONAL INC.,HONEYWELL INTERNATIONAL INC,CLEARWATER,FL,33764,CLEARWATER,FL,DEFINITIVE CONTRACT,FIXED PRICE INCENTIVE,R&D- SPACE: FLIGHT (BASIC RESEARCH),334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",3,Unknown,HONEYWELL INTERNATIONAL,HONEYWELL INTERNATIONAL
CONT_AWD_DEAC0700SF22191_8900_-NONE-_-NONE-,DEAC0700SF22191,170567999.6,226766695,227204548,2000-08-09,2000,2015-08-30,Department of Energy,Department of Energy,Department of Energy,Department of Energy,LOCKHEED MARTIN CORP,LOCKHEED MARTIN CORP,KING OF PRUSSIA,PA,19406,KING OF PRUSSIA,PA,DEFINITIVE CONTRACT,COST PLUS FIXED FEE,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ENGINEERING DEVELOPMENT),336415,GUIDED MISSILE AND SPACE VEHICLE PROPULSION UNIT AND PROPULSION UNIT PARTS MANUFACTURING,2,CORPORATE NOT TAX EXEMPT,LOCKHEED MARTIN,LOCKHEED MARTIN
CONT_AWD_GSFC0199902DNAS598020_8000_-NONE-_-NONE-,GSFC0199902DNAS598020,303503394,572500375,572500375,1999-10-15,2000,2011-10-14,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,PERATON INC.,"VERITAS CAPITAL FUND MANAGEMENT, L.L.C.",HERNDON,VA,20170,HERNDON,VA,DEFINITIVE CONTRACT,COST PLUS INCENTIVE FEE,R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),541330,ENGINEERING SERVICES,2,CORPORATE NOT TAX EXEMPT,PERATON,VERITAS CAPITAL FUND MANAGEMENT LLC
CONT_AWD_HQTR0200004DNASW00003_8000_-NONE-_-NONE-,HQTR0200004DNASW00003,16623010,16623010,16623010,2000-04-17,2000,2020-04-30,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,SOUTHWEST RESEARCH INSTITUTE,SOUTHWEST RESEARCH INSTITUTE,SAN ANTONIO,TX,78238,SAN ANTONIO,TX,DEFINITIVE CONTRACT,COST PLUS FIXED FEE,R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",999,Unknown,SOUTHWEST RESEARCH INSTITUTE,SOUTHWEST RESEARCH INSTITUTE
CONT_AWD_DEAC5201NV13869_8900_-NONE-_-NONE-,DEAC5201NV13869,1473073.36,0,0,2001-05-18,2001,2006-06-19,Department of Energy,Department of Energy,Department of Energy,Department of Energy,"NAVARRO RESEARCH AND ENGINEERING, INC.","NAVARRO RESEARCH AND ENGINEERING, INC.",OAK RIDGE,TN,37830,OAK RIDGE,TN,DEFINITIVE CONTRACT,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,6,Unknown,NAVARRO RESEARCH AND ENGINEERING,NAVARRO RESEARCH AND ENGINEERING
CONT_AWD_N0042102C0010_9700_-NONE-_-NONE-,N0042102C0010,610881,0,0,2002-07-17,2002,2005-01-31,Department of Defense,Defense Contract Management Agency,Department of Defense,Department of the Navy,APPLIED DEFENSE SOLUTIONS INC,ENGILITY CORPORATION,BURLINGTON,MA,18034,BURLINGTON,MA,DEFINITIVE CONTRACT,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,APPLIED DEFENSE SOLUTIONS,ENGILITY
CONT_AWD_DEAC0702SF22491_8900_-NONE-_-NONE-,DEAC0702SF22491,49136774.18,49901759,49901759,2002-06-07,2002,2007-06-30,Department of Energy,Department of Energy,Department of Energy,Department of Energy,LOCKHEED MARTIN CORP,LOCKHEED MARTIN CORP,SUNNYVALE,CA,94089,KING OF PRUSSIA,PA,DEFINITIVE CONTRACT,COST PLUS FIXED FEE,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ENGINEERING DEVELOPMENT),336415,GUIDED MISSILE AND SPACE VEHICLE PROPULSION UNIT AND PROPULSION UNIT PARTS MANUFACTURING,1,Unknown,LOCKHEED MARTIN,LOCKHEED MARTIN
CONT_AWD_N6893602C0043_9700_-NONE-_-NONE-,N6893602C0043,774391011.1,0,0,2002-09-24,2002,2010-12-18,Department of Defense,Defense Contract Management Agency,Department of Defense,Department of the Navy,THE BOEING COMPANY,THE BOEING COMPANY,SAINT LOUIS,MO,63166,SAINT LOUIS,MO,DEFINITIVE CONTRACT,COST PLUS FIXED FEE,R&D- DEFENSE SYSTEM: AIRCRAFT (OPERATIONAL SYSTEMS DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,THE BOEING,THE BOEING
CONT_AWD_GSFC0200207DNAS502099_8000_-NONE-_-NONE-,GSFC0200207DNAS502099,189441253,211537867.7,211537867.7,2002-07-15,2002,2028-09-30,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,OAKLAND,CA,94607,OAKLAND,CA,DEFINITIVE CONTRACT,COST NO FEE,R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),336419,OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,51,Unknown,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA
CONT_AWD_GSFC0200207DNAS502100_8000_-NONE-_-NONE-,GSFC0200207DNAS502100,6953699.69,6954613,6954613,2002-07-15,2002,2016-09-30,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",STATE OF CALIFORNIA CONTROLLERS OFFICE,LOS ANGELES,CA,90095,LOS ANGELES,CA,DEFINITIVE CONTRACT,COST NO FEE,R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),336419,OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,51,US GOVERNMENT ENTITY,UNIVERSITY OF CALIFORNIA LOS ANGELES,STATE OF CALIFORNIA CONTROLLERS OFFICE
CONT_AWD_N0017303C2009_9700_-NONE-_-NONE-,N0017303C2009,4083709.29,4097146,4097146,2003-01-16,2003,2008-02-28,Department of Defense,Defense Contract Management Agency,Department of Defense,Department of the Navy,EAGLE SYSTEMS INC,EAGLE SYSTEMS INC,CALIFORNIA,MD,20619,CALIFORNIA,MD,DEFINITIVE CONTRACT,COST PLUS FIXED FEE,R&D- DEFENSE SYSTEM: AIRCRAFT (OPERATIONAL SYSTEMS DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,EAGLE SYSTEMS,EAGLE SYSTEMS
