company_name,year_founded,industries,hq,zipcode,description,operating_status,cb_rank,funding_status,funding_date,funding_type,acquired_by,acquired_price,ipo_status,ipo_valuation,ipo_date,growth_confidence,growth_category,estimated_revenue,num_employees,num_funding_rounds,total_funding,top_investors,num_investors
DIMAAG,2018,"Artificial Intelligence (AI), Autonomous Vehicles, Charging Infrastructure, Computer Vision, Electric Vehicle, Machine Learning, Manufacturing, Robotics","Fremont, California, United States",94538,"Building cutting-edge products and software services encompassing AI, Autonomous Navigation, Electric Vehicles, and Robotics.",Active,205664,,2020-01-27,Venture - Series Unknown,,,Private,,,,,,101-250,1,,"Plug and Play, Global Catalyst Partners Japan",2
Netdata,2018,"Enterprise Software, Information Technology, Internet of Things, IT Infrastructure, Software","San Francisco, California, United States",94104,"Monitor your servers, containers, and applications, in high-resolution and in real-time.",Active,29903,Early Stage Venture,2020-09-22,Series A,,,Private,,,,,$10M to $50M,51-100,5,34700000,"Bessemer Venture Partners, Uncorrelated Ventures, Bain Capital Ventures, Marathon Venture Capital, Stackscale",5
Outward Technologies,2017,"Aerospace, Commercial, Solar","Broomfield, Colorado, United States",80020,Outward Technologies develops critical technologies for extraterrestrial mining and manufacturing.,Active,99546,,2020-09-11,Grant,,,Private,,,,,$1M to $10M,11-50,2,1175495,National Science Foundation,1
TATINE,2015,"E-Commerce, Home Decor, Manufacturing, Wholesale","Chicago, Illinois, United States",60639,TATINE manufactures and sells candles online.,Active,766720,,,,,,Private,,,,,Less than $1M,10-Jan,,,,
X3M,2022,"Advertising, Advertising Platforms, Information Technology, Mobile Advertising","Wilmington, Delaware, United States",19801,"X3M improves ad monetization on mobile, giving publishers a new mediation platform to obtain higher CPMs and better fill rates",Active,1900792,,,,,,Private,,,,Growing,,51-100,,,,
Duext,2016,"Copywriting, Information Technology, Internet, Technical Support","New York, New York, United States",10036,"Duext Virtual Assistants helps grow in the digital space and provides Social Media Marketing, SEO, Copywriting, and Content Development.",Active,813646,,,,,,Private,,,,,Less than $1M,10-Jan,,,,
PEMRS,2018,"Electronic Health Record (EHR), Health Care, Information Technology, Medical, mHealth","East Brunswick, New Jersey, United States",8816,PEMRS is a healthcare digital technology company that provides a mobile app for individuals to aggregate their electronic medical records.,Active,170439,Seed,2019-02-04,Pre-Seed,,,Private,,,,,,10-Jan,2,170000,"Thangamani Seenivassen, Harald kiamzon, Jeremy Baron, Hesham Mohamed, Harald Kiamzon",9
Solstar Space Company,2017,"Aerospace, Space Travel, Technical Support, Unified Communications","Santa Fe, New Mexico, United States",8750,Satellite services company for the space communications vertical,Active,70536,Early Stage Venture,2024-04-03,Grant,,,Private,,,,Growing,,10-Jan,4,2700000,"New Mexico Vintage Fund, United States Space Force, Meyer Global, Bay Wharf Capital",4
BLAKFX,2017,"Blockchain, Cloud Security, Cryptocurrency, Cyber Security, Information Technology","Chester, New Jersey, United States",7930,"BLAKFX provides sophisticated cyber security solutions for consumers, enterprise, military, governments and high net-worth individuals.",Active,3151162,,,,,,Private,,,,,$1M to $10M,251-500,,,,
Reactive Space,2017,"Agriculture, Blockchain, Data Visualization, Enterprise Software, Information Technology, Intelligent Systems, Software","Totowa, New Jersey, United States",7512,"Our rich mix of Enterprise , SME and startup experiences allows us to bring value to your ideas and make them a reality.",Active,956916,,,,,,Private,,,,,Less than $1M,51-100,,,,
Space K9,2017,"Content Marketing, Copywriting, Information Technology, Personal Branding","Jersey City, New Jersey, United States",7306,"SPACE K9 helps brands connect with their audience through storytelling, brand identity, and communication strategies.",Active,2160407,,,,,,Private,,,,,$1M to $10M,10-Jan,,,,
Bestmark National,2016,"Construction, Furniture, Manufacturing, Product Design, Project Management","Irvington, New Jersey, United States",7111,"Bestmark National is a furniture manufacturing company that offers design, development, project management, prototyping, and space planning.",Active,348539,,,,,,Private,,,,,$1M to $10M,51-100,,,,
Aphelion Orbitals,2015,"Aerospace, Gaming, Satellite Communication","Union City, New Jersey, United States",7087,"Aphelion provides full lifecycle launch services that allow regular, scheduled orbital access at an unprecedented rate and low cost.",Active,135909,Seed,2017-07-28,Seed,,,Private,,,,,Less than $1M,10-Jan,1,500000,,
"HealthHive, PBC",2018,"Big Data, Health Care, Information Technology, Mobile, Mobile Apps, SaaS","Short Hills, New Jersey, United States",7078,"SaaS, Mobile App, Web Application",Active,897285,Seed,2021-11-10,Pre-Seed,,,Private,,,,,Less than $1M,11-50,1,,,
Edekee Inc.,2020,"E-Commerce, Information Technology","West Orange, New Jersey, United States",7052,"API-as-a-service , Video Commerce type company that connects people to products",Active,154039,Seed,2022-06-21,Seed,,,Private,,,,,,11-50,2,300000,Tekedia Capital,1
Bearly Solutions,2019,"Artificial Intelligence (AI), Social Media, Web Development","Lincoln Park, New Jersey, United States",7035,Bearly Solutions designs custom websites and applications to boost small business productivity and engagement.,Active,942709,,,,,,Private,,,,,$1M to $10M,10-Jan,,,,
Hudson Space Systems,2018,"Aerospace, Manufacturing, Space Travel","Hoboken, New Jersey, United States",7030,Microgravity as a Service,Active,125869,Seed,2020-06-01,Pre-Seed,,,Private,,,,,Less than $1M,10-Jan,1,425000,,
GO Digital,2022,"Financial Services, Information Technology","Greenwich, Connecticut, United States",6830,Building the bridge for institutional traders to the digital asset space,Active,3152283,,,,,,Private,,,,,,11-50,,,,
Crypto Pro,2018,"Blockchain, Cryptocurrency, Information Technology","Darien, Connecticut, United States",6820,The leading conference for investors interested in crypto assets and blockchain technologies.,Closed,1734818,,,,,,Private,,,,,,,,,,
Market Pros International,2016,"Advertising, Information Technology, Marketing, Social Media","Danbury, Connecticut, United States",6811,Market Pros International is an industry leader in the digital marketing and social media space,Active,170200,Seed,2017-01-01,Seed,,,Private,,,,,$1M to $10M,10-Jan,1,50000,,
Digital LLC,2020,"Blockchain, Cryptocurrency, Financial Services, FinTech, Information Technology, Trading Platform","Greenwich, Connecticut, United States",680,Next Generation Digital Financial Services®,Active,539572,Seed,2020-10-01,Seed,,,Private,,,,Growing,$1M to $10M,10-Jan,1,,,
